Datetime,Open,High,Low,Close,Adj Close,Volume
2026-08-10 04:00:00,137.2602,137.2602,137.2602,137.2602,137.2602,0
2026-08-10 04:01:00,135.7,135.7,135.6,135.6,135.6,0
2026-08-10 04:10:00,135.7,137.26,135.7,137.26,137.26,0
2026-08-10 04:12:00,137.26,137.26,137.26,137.26,137.26,0
2026-08-10 04:28:00,137.26,137.26,137.26,137.26,137.26,0
2026-08-10 04:38:00,137.26,137.26,137.26,137.26,137.26,0
2026-08-10 04:43:00,137.26,137.26,137.26,137.26,137.26,0
2026-08-10 05:23:00,137.12,137.12,137.12,137.12,137.12,0
2026-08-10 06:04:00,136.0,136.0,136.0,136.0,136.0,0
2026-08-10 06:06:00,135.66,135.66,135.66,135.66,135.66,0
2026-08-10 06:13:00,135.66,135.66,135.66,135.66,135.66,0
2026-08-10 06:22:00,135.66,135.66,135.66,135.66,135.66,0
2026-08-10 06:38:00,135.41,135.5,135.06,135.5,135.5,0
2026-08-10 06:43:00,135.75,135.75,135.75,135.75,135.75,0
2026-08-10 06:57:00,135.75,135.75,135.75,135.75,135.75,0
2026-08-10 07:00:00,137.3,137.3,135.75,136.01,136.01,0
2026-08-10 07:04:00,135.75,135.75,135.75,135.75,135.75,0
2026-08-10 07:10:00,135.75,136.01,135.73,136.01,136.01,0
2026-08-10 07:20:00,135.75,135.75,135.75,135.75,135.75,0
2026-08-10 07:23:00,135.5,135.5,135.5,135.5,135.5,0
2026-08-10 07:31:00,135.5,135.5,135.5,135.5,135.5,0
2026-08-10 07:54:00,135.75,135.75,135.75,135.75,135.75,0
2026-08-10 08:14:00,135.75,135.75,135.75,135.75,135.75,0
2026-08-10 08:15:00,135.77,135.77,135.77,135.77,135.77,0
2026-08-10 08:22:00,135.63,135.63,135.63,135.63,135.63,0
2026-08-10 08:35:00,136.0,136.0,136.0,136.0,136.0,0
2026-08-10 08:36:00,135.78,135.78,135.78,135.78,135.78,0
2026-08-10 08:55:00,135.78,135.78,135.78,135.78,135.78,0
2026-08-10 09:11:00,136.8232,136.8232,136.8232,136.8232,136.8232,0
2026-08-10 09:13:00,135.0,135.0,135.0,135.0,135.0,0
2026-08-10 09:30:00,134.0800018310547,134.3300018310547,134.0,134.2899932861328,134.2899932861328,18840
2026-08-10 09:31:00,134.3000030517578,134.3000030517578,134.2100067138672,134.2100067138672,134.2100067138672,851
2026-08-10 09:32:00,134.30999755859375,134.375,134.30999755859375,134.375,134.375,414
2026-08-10 09:33:00,133.89999389648438,134.3699951171875,133.89999389648438,134.0399932861328,134.0399932861328,442
2026-08-10 09:34:00,133.97999572753906,133.97999572753906,133.36000061035156,133.94500732421875,133.94500732421875,7972
2026-08-10 09:35:00,133.8699951171875,133.8699951171875,133.08999633789062,133.08999633789062,133.08999633789062,3533
2026-08-10 09:36:00,133.2100067138672,133.33999633789062,133.11000061035156,133.30999755859375,133.30999755859375,1783
2026-08-10 09:37:00,133.10000610351562,133.10000610351562,133.10000610351562,133.10000610351562,133.10000610351562,358
2026-08-10 09:38:00,133.11000061035156,133.5944061279297,133.10000610351562,133.36000061035156,133.36000061035156,2893
2026-08-10 09:39:00,133.581298828125,134.36000061035156,133.16000366210938,134.3426971435547,134.3426971435547,6605
2026-08-10 09:40:00,133.94000244140625,134.17999267578125,133.94000244140625,134.17999267578125,134.17999267578125,1256
2026-08-10 09:41:00,134.14999389648438,134.33999633789062,134.14999389648438,134.32000732421875,134.32000732421875,2076
2026-08-10 09:42:00,134.32000732421875,134.38999938964844,134.1999969482422,134.27999877929688,134.27999877929688,3879
2026-08-10 09:43:00,134.5,134.5,134.39999389648438,134.39999389648438,134.39999389648438,557
2026-08-10 09:44:00,134.38499450683594,134.38499450683594,133.9499969482422,133.9499969482422,133.9499969482422,2793
2026-08-10 09:45:00,134.0449981689453,134.0449981689453,133.85000610351562,133.86000061035156,133.86000061035156,1465
2026-08-10 09:46:00,133.82000732421875,133.82000732421875,133.72999572753906,133.72999572753906,133.72999572753906,1124
2026-08-10 09:48:00,133.88999938964844,133.89999389648438,133.78500366210938,133.875,133.875,1732
2026-08-10 09:49:00,133.6999969482422,133.70010375976562,133.6999969482422,133.70010375976562,133.70010375976562,934
2026-08-10 09:50:00,133.83999633789062,133.83999633789062,133.8000030517578,133.8000030517578,133.8000030517578,1155
2026-08-10 09:51:00,133.8148651123047,133.97999572753906,133.7899932861328,133.97999572753906,133.97999572753906,4476
2026-08-10 09:52:00,134.0500030517578,134.18499755859375,134.0500030517578,134.18499755859375,134.18499755859375,1326
2026-08-10 09:53:00,134.25,134.30999755859375,134.2449951171875,134.30999755859375,134.30999755859375,1023
2026-08-10 09:54:00,134.16000366210938,134.22500610351562,134.0500030517578,134.10000610351562,134.10000610351562,2395
2026-08-10 09:55:00,134.00999450683594,134.07000732421875,133.9600067138672,134.05999755859375,134.05999755859375,2091
2026-08-10 09:56:00,134.10000610351562,134.10000610351562,133.97999572753906,133.97999572753906,133.97999572753906,264
2026-08-10 09:57:00,133.91000366210938,133.91000366210938,133.7899932861328,133.7899932861328,133.7899932861328,2006
2026-08-10 09:58:00,133.8699951171875,133.9499969482422,133.81790161132812,133.81790161132812,133.81790161132812,3565
