Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,175.5,178.5,169.5,172.5,172.5,4403
2021-08-17,174.0,174.0,163.5,169.5,169.5,8125
2021-08-18,163.5,175.5,163.5,171.0,171.0,3227
2021-08-19,174.0,175.5,163.5,165.0,165.0,2965
2021-08-20,169.5,177.0,166.0500030517578,172.5,172.5,2295
2021-08-23,177.0,184.5,172.5,183.0,183.0,2185
2021-08-24,183.0,194.25,181.8000030517578,190.5,190.5,2642
2021-08-25,185.25,201.3000030517578,185.25,199.5,199.5,3021
2021-08-26,201.0,204.0,195.0,201.0,201.0,2609
2021-08-27,201.0,210.0,198.0,205.5,205.5,4081
2021-08-30,201.0,205.5,195.0,201.0,201.0,2896
2021-08-31,204.0,211.5,199.5,210.0,210.0,2509
2021-09-01,213.0,213.0,205.5,205.5,205.5,944
2021-09-02,208.5,217.5,205.5,210.0,210.0,2465
2021-09-03,210.0,210.0,202.5,210.0,210.0,1733
2021-09-07,207.0,213.0,199.5,204.0,204.0,1661
2021-09-08,207.0,208.5,193.5,202.5,202.5,1841
2021-09-09,202.5,211.5,200.85000610351562,210.0,210.0,1575
2021-09-10,211.5,211.5,202.5,204.0,204.0,1561
2021-09-13,207.0,210.0,199.5,205.5,205.5,2205
2021-09-14,208.5,208.5,198.0,201.0,201.0,1422
2021-09-15,201.0,204.0,198.0,202.5,202.5,1389
2021-09-16,204.0,208.5,199.5,207.0,207.0,937
2021-09-17,204.0,211.5,201.0,211.5,211.5,1782
2021-09-20,205.5,208.5,199.5,199.5,199.5,1139
2021-09-21,201.0,208.5,199.5,204.0,204.0,811
2021-09-22,201.0,205.5,192.0,192.0,192.0,3543
2021-09-23,195.0,198.0,193.5,196.5,196.5,1252
2021-09-24,195.0,201.0,190.5,193.5,193.5,1942
2021-09-27,192.0,202.5,192.0,193.5,193.5,1723
2021-09-28,192.0,192.0,183.0,183.0,183.0,1066
2021-09-29,184.5,187.5,178.5,180.0,180.0,1025
2021-09-30,178.5,183.0,177.0,180.0,180.0,25318
2021-10-01,180.0,181.5,174.0,174.0,174.0,1357
2021-10-04,177.0,190.5,174.0,187.5,187.5,2655
2021-10-05,187.5,187.5,174.0,180.0,180.0,945
2021-10-06,175.5,183.0,171.0,175.5,175.5,859
2021-10-07,174.0,189.0,174.0,187.5,187.5,6574
2021-10-08,187.5,195.0,187.5,192.0,192.0,2115
2021-10-11,189.0,195.0,181.5,183.0,183.0,1712
2021-10-12,180.0,187.5,165.3000030517578,171.0,171.0,2753
2021-10-13,177.0,183.0,177.0,180.0,180.0,2251
2021-10-14,183.0,183.0,177.0,181.5,181.5,1209
2021-10-15,181.5,181.5,174.0,177.0,177.0,1053
2021-10-18,177.0,177.0,172.5,174.0,174.0,603
2021-10-19,172.5,177.0,172.5,177.0,177.0,593
2021-10-20,175.5,180.0,172.5,177.0,177.0,685
2021-10-21,175.5,177.0,174.0,175.5,175.5,589
2021-10-22,174.0,180.0,169.5,172.5,172.5,1468
2021-10-25,172.5,175.5,169.5,172.5,172.5,359
2021-10-26,175.5,177.75,148.8000030517578,172.5,172.5,2827
2021-10-27,169.5,172.5,168.0,171.0,171.0,1141
2021-10-28,168.0,174.0,168.0,171.0,171.0,1217
2021-10-29,171.0,174.0,166.5,169.5,169.5,702
2021-11-01,171.0,177.0,171.0,174.0,174.0,788
2021-11-02,174.0,178.5,171.75,175.5,175.5,764
2021-11-03,175.5,178.5,172.5,178.5,178.5,839
2021-11-04,180.0,180.0,172.5,177.0,177.0,1099
2021-11-05,177.0,177.89999389648438,163.5,166.5,166.5,1973
2021-11-08,163.5,166.5,160.5,166.5,166.5,951
