Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,3116.0,3178.0,3008.0,3144.0,3144.0,499
2021-08-17,3128.0,3140.0,2984.0,3032.0,3032.0,509
2021-08-18,3260.0,3580.0,3220.0,3444.0,3444.0,2702
2021-08-19,3368.0,3766.39990234375,3360.0,3692.0,3692.0,1583
2021-08-20,3680.0,3788.0,3476.0,3500.0,3500.0,1031
2021-08-23,3552.0,3836.0,3552.0,3788.0,3788.0,1002
2021-08-24,3860.0,3868.800048828125,3608.0,3816.0,3816.0,834
2021-08-25,3768.0,4292.0,3668.0,4120.0,4120.0,1956
2021-08-26,4240.0,4760.0,4108.0,4368.0,4368.0,3897
2021-08-27,4360.0,4557.2001953125,4212.0,4556.0,4556.0,1979
2021-08-30,4700.0,4740.39990234375,4260.0,4516.0,4516.0,1504
2021-08-31,4480.0,4548.39990234375,4352.0,4400.0,4400.0,741
2021-09-01,4376.0,4408.0,4124.0,4272.0,4272.0,1091
2021-09-02,4276.0,4348.0,4052.0,4108.0,4108.0,1255
2021-09-03,4104.0,4190.0,3908.0,4148.0,4148.0,1025
2021-09-07,4092.0,4352.0,4081.60009765625,4224.0,4224.0,1101
2021-09-08,4236.0,4592.0,4128.0,4540.0,4540.0,1657
2021-09-09,4468.0,4619.60009765625,4328.39990234375,4416.0,4416.0,1536
2021-09-10,4420.0,4452.0,4100.0,4256.0,4256.0,1549
2021-09-13,4292.0,4350.7998046875,4128.0,4132.0,4132.0,613
2021-09-14,4124.0,4470.0,4084.0,4272.0,4272.0,1247
2021-09-15,4236.0,4636.0,4200.0,4536.0,4536.0,1178
2021-09-16,4624.0,5056.0,4564.0,4812.0,4812.0,3303
2021-09-17,4840.0,4896.0,4492.0,4644.0,4644.0,1721
2021-09-20,4576.0,4754.0,4444.0,4692.0,4692.0,1497
2021-09-21,4780.0,5149.60009765625,4720.0,5016.0,5016.0,2103
2021-09-22,4944.0,5012.0,4640.0,4840.0,4840.0,1589
2021-09-23,4836.0,5020.0,4720.0,4936.0,4936.0,879
2021-09-24,4852.0,4911.2001953125,4760.0,4836.0,4836.0,935
2021-09-27,4800.0,4876.0,4630.39990234375,4656.0,4656.0,915
2021-09-28,4600.0,4752.0,4534.39990234375,4568.0,4568.0,602
2021-09-29,4568.0,4724.0,4304.0,4308.0,4308.0,1329
2021-09-30,4344.0,4494.0,4300.0,4448.0,4448.0,599
2021-10-01,4408.0,4476.0,4205.60009765625,4244.0,4244.0,1282
2021-10-04,4192.0,4308.0,4008.0,4132.0,4132.0,1483
2021-10-05,4132.0,4224.0,4056.0,4156.0,4156.0,648
2021-10-06,4104.0,4152.39990234375,4066.0,4128.0,4128.0,283
2021-10-07,4136.0,4378.0,4115.2001953125,4260.0,4260.0,1038
2021-10-08,4280.0,4540.0,4280.0,4484.0,4484.0,1124
2021-10-11,4480.0,4565.60009765625,4360.0,4404.0,4404.0,596
2021-10-12,4408.0,4520.0,4268.0,4508.0,4508.0,773
2021-10-13,4488.0,4636.0,4420.0,4544.0,4544.0,671
2021-10-14,4620.0,4712.0,4480.0,4520.0,4520.0,594
2021-10-15,4548.0,4548.0,4376.0,4416.0,4416.0,497
2021-10-18,4416.0,4440.0,4176.0,4252.0,4252.0,676
2021-10-19,4236.0,4251.2001953125,3623.199951171875,3884.0,3884.0,3348
2021-10-20,4000.0,4116.0,3780.0,3888.0,3888.0,1272
2021-10-21,3864.0,4229.60009765625,3852.0,4024.0,4024.0,1105
2021-10-22,3944.0,3976.0,3772.0,3800.0,3800.0,869
2021-10-25,3764.0,4024.0,3764.0,4004.0,4004.0,885
2021-10-26,4032.0,4082.0,3956.0,4060.0,4060.0,477
2021-10-27,4084.0,4084.0,3944.0,4008.0,4008.0,387
2021-10-28,4020.0,4252.0,4004.0,4032.0,4032.0,1055
2021-10-29,4040.0,4138.39990234375,4040.0,4108.0,4108.0,408
2021-11-01,4072.0,4164.0,4064.0,4132.0,4132.0,449
2021-11-02,4220.0,4352.0,4080.0,4320.0,4320.0,932
2021-11-03,4276.0,5012.0,4164.0,5000.0,5000.0,1517
2021-11-04,5120.0,5300.0,4368.7998046875,4528.0,4528.0,4415
2021-11-05,4380.0,4451.60009765625,4208.0,4332.0,4332.0,1509
2021-11-08,4392.0,4492.0,4322.7998046875,4392.0,4392.0,984
2021-11-09,4404.0,4476.39990234375,4160.0,4360.0,4360.0,960
2021-11-10,4356.0,4410.0,4052.0,4356.0,4356.0,1122
2021-11-11,4420.0,4440.0,4192.0,4400.0,4400.0,934
2021-11-12,4168.0,5494.7998046875,4168.0,5360.0,5360.0,3836
2021-11-15,5360.0,6332.0,5267.60009765625,5892.0,5892.0,3628
2021-11-16,5712.0,6000.0,5568.0,5888.0,5888.0,1602
2021-11-17,5880.0,6148.0,5663.60009765625,6100.0,6100.0,1424
2021-11-18,6124.0,6272.0,5584.0,5704.0,5704.0,1508
2021-11-19,5748.0,5820.0,5288.0,5420.0,5420.0,1262
2021-11-22,5420.0,5420.0,4688.0,4856.0,4856.0,2213
2021-11-23,4820.0,5080.0,4740.0,4904.0,4904.0,721
2021-11-24,5116.0,5672.0,5004.0,5552.0,5552.0,1636
2021-11-26,5680.0,6264.0,5508.0,6244.0,6244.0,1447
2021-11-29,6274.0,6564.0,5596.0,5792.0,5792.0,2442
2021-11-30,5780.0,5875.60009765625,5520.0,5800.0,5800.0,1050
2021-12-01,5804.0,5896.0,5368.0,5744.0,5744.0,1562
2021-12-02,5508.0,5900.0,5508.0,5760.0,5760.0,1031
2021-12-03,5696.0,5708.0,5132.0,5408.0,5408.0,1098
2021-12-06,5208.0,5220.0,4000.0,4144.0,4144.0,4918
2021-12-07,4332.0,4552.0,4020.0,4336.0,4336.0,2558
2021-12-08,4376.0,4388.0,4040.0,4244.0,4244.0,1072
2021-12-09,3288.0,3472.0,3108.0,3376.0,3376.0,5474
2021-12-10,3392.0,3548.0,3243.60009765625,3404.0,3404.0,1643
2021-12-13,3408.0,3576.0,3356.39990234375,3380.0,3380.0,962
2021-12-14,3680.0,3720.0,3420.0,3696.0,3696.0,1792
2021-12-15,3688.0,3940.0,3604.0,3908.0,3908.0,1465
2021-12-16,3920.0,4155.60009765625,3868.0,4040.0,4040.0,1647
2021-12-17,3968.0,4152.0,3944.0,4128.0,4128.0,1130
2021-12-20,4064.0,4256.0,3980.0,4156.0,4156.0,847
2021-12-21,4136.0,4200.0,3804.0,3912.0,3912.0,1166
2021-12-22,3952.0,4033.199951171875,3736.0,3776.0,3776.0,1264
2021-12-23,3752.0,4006.0,3752.0,3916.0,3916.0,617
2021-12-27,3842.0,4000.0,3752.0,3780.0,3780.0,724
2021-12-28,3900.0,4070.0,3860.0,3940.0,3940.0,1104
2021-12-29,3912.0,3940.0,3760.0,3868.0,3868.0,695
2021-12-30,3888.0,3953.60009765625,3828.0,3856.0,3856.0,569
2021-12-31,3888.0,3943.60009765625,3732.0,3776.0,3776.0,857
2022-01-03,3816.0,3900.0,3684.0,3812.0,3812.0,678
2022-01-04,3828.0,3896.0,3440.0,3616.0,3616.0,1352
2022-01-05,3560.0,3760.0,3476.0,3512.0,3512.0,973
2022-01-06,3452.0,3500.0,3268.0,3420.0,3420.0,897
2022-01-07,3372.0,3500.0,3284.0,3408.0,3408.0,452
2022-01-10,3356.0,3520.0,3336.0,3472.0,3472.0,712
2022-01-11,3428.0,3580.0,3284.0,3408.0,3408.0,801
2022-01-12,3428.0,3435.60009765625,3304.0,3320.0,3320.0,320
2022-01-13,3360.0,3444.0,3272.0,3292.0,3292.0,412
2022-01-14,3284.0,3316.0,3084.0,3112.0,3112.0,926
2022-01-18,3072.0,3072.0,2904.0,2932.0,2932.0,1555
2022-01-19,3000.0,3194.0,2928.0,2968.0,2968.0,721
2022-01-20,3036.0,3198.0,2808.0,2828.0,2828.0,818
2022-01-21,2804.0,2880.0,2576.0,2708.0,2708.0,817
2022-01-24,2744.0,2744.0,2440.0,2664.0,2664.0,1041
2022-01-25,2620.0,2700.0,2556.0,2644.0,2644.0,453
2022-01-26,2684.0,2787.60009765625,2644.0,2692.0,2692.0,530
2022-01-27,2620.0,2717.199951171875,2520.0,2532.0,2532.0,336
2022-01-28,2524.0,2596.0,2424.0,2584.0,2584.0,411
2022-01-31,2592.0,2772.0,2592.0,2756.0,2756.0,490
2022-02-01,2772.0,3012.0,2756.0,3012.0,3012.0,578
2022-02-02,3020.0,3032.0,2816.0,2896.0,2896.0,411
2022-02-03,2848.0,2940.0,2796.0,2856.0,2856.0,315
2022-02-04,2864.0,2940.0,2768.0,2928.0,2928.0,348
2022-02-07,2900.0,2980.0,2768.0,2960.0,2960.0,624
